인물,임원직수,소속조직수,참여사건수,활동영역수,영역
모리나가 소이치,4,4,5,2,행정 ·동원
모리모토 도네쓰키,0,1,1,0,
모리모토 마사타로,1,1,1,1,경제
모리사키 시카마쓰,0,0,1,0,
모리야 다쓰조,1,1,1,0,
모리우라 구마조,1,1,1,0,
모리타 로쿠오,1,1,1,0,
모모하라 야오조,0,1,1,0,
모쿠자키 야소하치,1,1,1,0,
무라마쓰 스케유키,1,1,1,1,언론
무라오카 시게루,0,1,1,0,
무라카미 도모요시,1,1,1,0,
무라카와 가이치,1,1,0,1,언론
무라타,0,0,1,0,
무로타 요시부미,0,1,0,0,
무카이 도모키치,0,1,1,0,
무타,1,0,0,0,
미사와 도시오,0,0,1,0,
미사와 마사오,0,0,1,0,
미쓰하시 에이타로,0,1,2,0,
미야마 요시노스케,0,1,1,0,
미야자키 고쿠조,0,0,1,0,
미야케 아키타로,0,1,1,0,
미와 노부오,0,1,1,0,
미와 미쓰기,1,1,2,0,
미와 야키치,3,3,3,2,행정 ·경제
미와 유리,0,0,1,0,
미와 조테쓰,5,6,12,3,행정 ·경제 ·동원
미우라 쇼이치로,2,2,2,1,언론
미즈타 야스지로,1,0,1,0,
미카지리 다케사부로,1,1,2,1,행정
미카지리 주고,2,3,8,4,행정 ·경제 ·언론 ·동원
미하라 나오유키,1,1,0,0,
미하시 지요타로,0,1,1,0,
민 궁내부대신,0,0,1,0,
민영기,1,0,0,0,
민영직,1,1,0,0,
박제순,3,0,0,0,
박준효,1,1,0,0,
박중양,9,4,31,1,동원
백남준,1,1,0,0,
사사마 조,1,1,0,0,
사사모토 레이도,0,1,1,0,
사사키 이치조,0,1,2,0,
사에키 히코이치,0,1,1,0,
사이토,0,0,1,0,
사이토 소시로,1,1,1,0,
사이토 요시조,4,4,7,2,행정 ·동원
사이토 헤이키치,1,1,0,0,
사카모토 도시스케,1,3,2,0,
사카모토 준,1,1,3,2,언론 ·동원
사카이 가네키치,0,1,1,0,
사카이 만지로,9,7,13,4,행정 ·경제 ·언론 ·동원
사카이 사쿠조,0,1,1,0,
사카타 분키치,1,0,0,0,
사코 우타코,0,0,1,0,
사키사카 쇼키치,4,4,6,2,행정 ·경제
사토 겐쇼,2,2,2,0,
사토 료헤이,0,0,0,0,
사토 슈조,4,4,8,2,경제 ·언론
사토 스스무,1,0,1,0,
사토 이사부로,0,0,1,0,
샤쿠오 슌조,5,4,6,2,언론 ·동원
서병오,1,1,1,0,
서봉기,0,0,1,0,
서상돈,1,3,5,2,행정 ·경제
세노 에이타로,1,2,1,0,
세노 히로키치,0,1,1,0,
세노 히사타로,1,1,3,0,
센가 다마키,1,1,1,1,행정
소가와 유타카,1,0,2,0,
소네 아라스케,1,1,3,0,
송병준,2,0,1,0,
스기타 데이치,1,0,0,0,
스기하라 신키치,5,4,9,3,행정 ·경제 ·언론
스다 산페이,8,8,9,3,행정 ·경제 ·동원
스에마쓰 긴지로,1,1,2,0,
스에이시 모스케,0,1,1,0,
스즈키 다케시,1,0,0,0,
스즈키 이리시게,0,0,1,0,
스즈키 젠시치,1,1,1,1,경제
스즈키 하치로,1,1,1,0,
스즈키 히사지로,6,4,5,2,행정 ·동원
스토 시즈야,2,2,2,0,
시게히사 유히코,1,0,2,0,
시노하라 가나메,2,3,3,2,언론 ·동원
시노하라 이마시로,1,1,1,1,경제
시데하라,1,0,0,0,
시라타 신스케,4,4,5,3,행정 ·경제 ·동원
시마다 시즈카,1,0,0,0,
시마다 후미노스케,1,1,1,0,
시모다 고키치,5,5,8,2,행정 ·동원
시모바야시 야스타케,1,0,1,0,
시모조 에이타로,1,2,1,0,
시모조 효자부로,1,1,2,0,
시모즈 사부로,2,2,2,2,언론 ·동원
시미즈 도쿠타로,0,0,1,0,
시바타,1,1,1,0,
시바타 지요키치,0,1,1,0,
시부사와 슈조,5,7,11,3,행정 ·경제 ·언론
시부사와 에이치,2,1,1,1,경제
시오카와 이치타로,2,1,2,0,
시타가와 하루,1,1,1,0,
신태휴,1,1,1,0,
신현구,1,0,0,0,
쓰네요시 다다미치,2,2,9,0,
쓰루하라 사다키치,1,1,0,0,
쓰지 소노지로,7,5,8,2,행정 ·동원
쓰치다 준사쿠,0,0,1,0,
쓰치야 시게사쿠,1,1,0,0,
쓰치야 히코타로,6,4,6,1,경제
아다치 겐조,1,1,1,0,
아다치 다키지로,1,0,0,0,
아다치(중좌),0,0,1,0,
아라이 겐타로,2,1,0,0,
아리마 고코,1,2,1,0,
아리스가와노미야 다케히토,0,0,1,0,
아리요시 아키라,1,1,1,0,
아리요시 주이치,1,0,0,0,
아리타 오토마쓰,1,0,1,0,
아베 기노스케,1,1,2,0,
아베 도시로,0,1,1,0,
아사노 세이치,2,1,6,1,행정
아오누마 규이치로,0,1,1,0,
아오누마 쇼타,0,0,1,0,
아오시마 구메조,1,1,1,1,행정
아오키 시게노부,6,5,12,3,행정 ·경제 ·언론
아와타 에이지로,2,1,2,0,
아카시 세이,0,0,1,0,
아카시 세이코,0,1,1,0,
아카시 야스이치로,1,1,1,0,
아카시 오토키치,1,1,1,0,
아카쿠라 야타로,1,1,0,0,
아카호시 조조,1,2,1,2,행정 ·언론
아쿠타가와 다다시,2,1,1,1,언론
아키라,0,1,0,0,
아키라(秋良),0,1,0,0,
아키모토 세이타로,1,1,1,1,동원
아키야마 시카렌,1,1,1,1,행정
안노 세이,0,0,1,0,
안도 마사지로,1,1,1,0,
야기 다쓰마,1,1,1,0,
야기 마쓰다로,3,2,2,1,경제
야마가미 사다나오,1,0,1,0,
야마가타 아리토모,0,0,1,0,
야마네 마사지,1,1,0,0,
야마노 우에쿠니,1,2,1,0,
야마다 고지,1,1,1,0,
야마다 기쿠지로,0,0,0,0,
야마다 사다카즈,0,0,1,0,
야마다 슈조,1,1,0,0,
야마다 시게루,1,1,1,1,경제
야마다 신타로,0,0,1,0,
야마다 야헤이지,1,1,1,1,경제
야마다 우메지로,0,1,1,0,
야마다 히로미치,0,1,1,0,
야마다(부관),0,0,1,0,
야마다(수비대장),1,1,1,0,
야마모토 준이치,1,0,0,0,
야마와키 쇼사쿠,2,1,1,1,행정
야마자키 가도요시,0,1,1,0,
야마자키 도모사부로,1,1,0,1,경제
야마지 조이치,2,0,1,1,동원
야스다 구스지,1,1,1,0,
야스마쓰 구마키치,5,3,12,4,행정 ·경제 ·언론 ·동원
야스카와 와사부로,2,2,2,1,경제
야하시 요시타네,1,1,0,1,언론
양 모,0,0,1,0,
양재훈,1,1,0,0,
엄성구,1,1,1,0,
에이 산타로,1,1,0,0,
오가사 구마지로,0,1,1,0,
오구라 다케노스케,15,14,26,4,행정 ·경제 ·언론 ·동원
오노 미네지로,2,1,4,1,경제
오노 쇼자부로,3,1,0,0,
