절ID,장번호,장제목,절순번,절제목,시작행,끝행,비고
90-3,90,우지노의 호적수 미카지리 옹,3,옹과 만주 들판,1500,1503,
91-1,91,재선된 와타나베 민장 인가,1,민장 재선거,1506,1509,
91-2,91,재선된 와타나베 민장 인가,2,신문경영 곤란,1511,1512,
91-3,91,재선된 와타나베 민장 인가,3,노사카에 대한 기억,1514,1515,
91-4,91,재선된 와타나베 민장 인가,4,후원자들,1517,1520,
92-1,92,박중양 관찰사 재차 부임,1,회의소로 비화,1523,1536,
92-2,92,박중양 관찰사 재차 부임,2,기성회의 종언,1538,1539,
92-3,92,박중양 관찰사 재차 부임,3,행정관의 이동,1541,1542,
92-4,92,박중양 관찰사 재차 부임,4,내무행정 개혁,1544,1545,
93-1,93,법원 개설과 관민 대간친회,1,성대한 개청식,1548,1559,
93-2,93,법원 개설과 관민 대간친회,2,관민 대간친회,1561,1564,
93-3,93,법원 개설과 관민 대간친회,3,민단법 개정,1566,1573,
94-1,94,대립하는 두 파의 신문 계획,1,매우 순조로운 재정,1576,1579,
94-2,94,대립하는 두 파의 신문 계획,2,신문사 이전,1581,1582,
94-3,94,대립하는 두 파의 신문 계획,3,공소원 부지,1584,1585,
94-4,94,대립하는 두 파의 신문 계획,4,대구신보 계획,1587,1590,
95-1,95,"합병 성립, 대구신문 발행",1,박중양의 주선,1593,1596,
95-2,95,"합병 성립, 대구신문 발행",2,조정자가 나타나다,1598,1599,
95-3,95,"합병 성립, 대구신문 발행",3,흔쾌히 합병 성립,1601,1602,
95-4,95,"합병 성립, 대구신문 발행",4,합병 신문 발행,1604,1610,
96-1,96,기념해야 할 대구의 개척자,1,법원부지 선정의 전말,1613,1616,
96-2,96,기념해야 할 대구의 개척자,2,마쓰모토가 걸어온 길,1618,1619,
96-3,96,기념해야 할 대구의 개척자,3,세간의 건망증,1621,1622,
97-1,97,유치원 재흥을 위한 아름다운 연예회,1,히시키의 언변,1625,1631,
97-2,97,유치원 재흥을 위한 아름다운 연예회,2,예기단속규칙,1633,1634,
97-3,97,유치원 재흥을 위한 아름다운 연예회,3,유곽매수계획,1636,1637,
98-1,98,동척 창립과 관민 대간친회,1,동척 창립총회,1640,1647,
98-2,98,동척 창립과 관민 대간친회,2,관민 대간친회,1649,1650,
98-3,98,동척 창립과 관민 대간친회,3,박 씨의 대연설,1652,1655,
99-1,99,추억 깊은 1908년,1,의원 정기선거,1658,1666,
99-2,99,추억 깊은 1908년,2,의장선거 경위,1668,1669,
99-3,99,추억 깊은 1908년,3,발행부수 400,1671,1672,
99-4,99,추억 깊은 1908년,4,언문부록 발행,1674,1677,
100-1,100,기유년 신년 연회의 추억,1,성대한 신년회,1680,1683,
100-2,100,기유년 신년 연회의 추억,2,동척의 한국진출,1685,1691,
100-3,100,기유년 신년 연회의 추억,3,편안한 생활,1693,1694,
101-1,101,황제를 봉영하는 미증유의 성사,1,순행 조칙,1697,1703,
101-2,101,황제를 봉영하는 미증유의 성사,2,장막천 매점,1705,1706,
101-3,101,황제를 봉영하는 미증유의 성사,3,각 숙소와 위원,1708,1709,
102-1,102,의장병을 선두로 장엄한 노부,1,옥보를 남기다,1712,1715,
102-2,102,의장병을 선두로 장엄한 노부,2,원기있는 이토공,1717,1721,
103-1,103,별과 같이 열석한 귀현의 회합,1,대환영회 광경,1723,1724,
103-2,103,별과 같이 열석한 귀현의 회합,2,저녁 제등행렬,1726,1727,
104-1,104,대구에서의 이토 공 연설,1,이토 공의 연설,1730,1737,
105-1,105,"임행의 유물, 유일한 은사관",1,환행과 대구,1740,1743,
105-2,105,"임행의 유물, 유일한 은사관",2,은사관에 대한 기억,1745,1746,
105-3,105,"임행의 유물, 유일한 은사관",3,서북한 순행,1748,1749,
106-1,106,요란했던 육군기념일,1,놀라운 행행 여담,1752,1755,
106-2,106,요란했던 육군기념일,2,흥청대던 3월 10일,1757,1758,
106-3,106,요란했던 육군기념일,3,급조한 음악대,1760,1782,
107-1,107,무효투표로 재선거,1,돌이켜보는 기념일,1785,1788,
107-2,107,무효투표로 재선거,2,당시 있었던 일들,1790,1791,
107-3,107,무효투표로 재선거,3,무효투표 발견,1793,1799,
108-1,108,가속도가 붙은 발전 시대의 여러 일들,1,교사를 다시 증축,1802,1825,
108-2,108,가속도가 붙은 발전 시대의 여러 일들,2,관내의 일본인,1827,1830,
108-3,108,가속도가 붙은 발전 시대의 여러 일들,3,건원절 축전,1832,1833,
108-4,108,가속도가 붙은 발전 시대의 여러 일들,4,도쿠라 조역 사임,1835,1836,
109-1,109,소네 자작의 대구 방문과 감세 문제,1,납세부담 순위,1839,1852,
109-2,109,소네 자작의 대구 방문과 감세 문제,2,경주와 소네 자작,1854,1855,
109-3,109,소네 자작의 대구 방문과 감세 문제,3,이사관 경질,1857,1858,
