한글표기,한자표기,대구물어_빈도,재집계_언급수,등장단락수,민단사매칭,안내매칭,요람매칭,조선대구일반매칭,병합된_이표기
아와타 에이지로,粟田英次郎,4,11,4,0,0,0,0,아와타 에이지로(栗田英次郎)
와카바야시 세이스케,若林誠助,4,11,6,1,1,1,0,와카바야시 세이스케(若林清助)
후루쇼 모토사네,古荘幹實,5,11,6,1,0,1,0,후루쇼 모토사네(古莊幹實)
다케우치 마키타로,竹内巻太郎,4,10,6,0,0,1,0,
도리야마 고야타,鳥山虎彌太,4,10,6,0,0,0,0,도리야마 고야타(鳥山虎也太)
도이 요타로,土井庸太郎,3,10,7,1,0,1,0,
메가타 다네타로,目賀田種太郎,5,10,5,1,0,0,0,메가타 다네타로(目賀田種太郞); 메가타(目賀田)
시부사와 에이치,澁澤榮一,1,10,3,0,0,0,0,
오자키 시즈오,尾崎鎭雄,4,10,5,1,0,1,0,
하야시 진시치,林甚七,4,10,6,1,0,1,0,
고미야 히코지,小宮彦次,4,9,5,1,0,1,0,고미야 히코지(小宮彥次)
구로카와 미노루,黒川穰,1,9,6,1,0,1,0,
구와노 긴타로,桑野金太郎,4,9,4,0,1,1,0,
마에다 아쓰시,前田篤志,4,9,4,1,0,0,0,구표기: 마에다 오쓰시
박제순,朴齊純,0,9,5,0,0,0,0,신규: 참정대신 — 검증시트 누락 반영
오키타 도시타로,沖田敏太郎,4,9,2,0,0,0,0,
이완용,李完用,0,9,8,1,0,0,0,신규: 학부대신·총리대신 — 검증시트 누락 반영
히시키 히데이치,飛鋪秀一,3,9,4,0,0,1,0,
나카무라 사이조,中村再造,3,8,3,0,0,0,0,
나카무라 헤이시로,中村平四郎,4,8,4,0,0,0,1,
나카오지 마사오,中大路正雄,3,8,5,1,0,0,0,
노세 다쓰고로,能勢辰五郎,2,8,4,1,0,0,1,
도쿠히사 요네조,德久米藏,4,8,4,1,0,0,0,도쿠히사 요네조(徳久米蔵)
미와 야키치,三輪彌吉,4,8,4,0,0,0,0,
아쿠타가와 다다시,野田正,1,8,1,0,1,0,0, | 병합: 아쿠타가와 다다시(芥川正)
야마다 야헤이지,山田彌平治,4,8,4,0,0,0,0,
와타나베 스이사이,渡邊水哉,2,8,4,0,0,1,0,
요시다 사시치,吉田佐七,4,8,4,1,1,1,0,
요시다 유로쿠로,吉田雄六郎,3,8,5,0,0,0,0,
우에다 겐스케,上田謙助,4,8,4,1,0,1,1,
이노 히데스케,井野英助,4,8,4,1,0,0,0,
이석진,李錫珍,0,8,4,1,0,1,0,신규: 단락 693
이토 기치사부로,伊藤吉三郎,2,8,4,1,1,1,0,
이토 쓰네조,伊藤恆藏,2,8,2,1,0,0,0,이토 쓰네조(伊藤恒蔵)
마루야마 시게토시,丸山重俊,3,7,4,0,0,0,0,
세노 히사타로,妹尾久太郎,3,7,4,0,0,0,0,
소가와 유타카,祖川豊,2,7,3,0,0,0,0,
아카시 오토키치,明石音吉,3,7,3,0,1,1,0,
오치 와스케,越智和助,2,7,4,0,0,1,0,
유아사 히데토미,湯浅秀富,3,7,4,1,0,0,0,유아사 히데토미(湯淺秀富)
이근호,李根浩,0,7,3,1,0,0,0,신규: 관찰사(본문 440 열거)
하자마 후사타로,迫間房太郎,2,7,2,0,0,0,0,
히와타시 세이에이,樋渡淸榮,3,7,3,0,0,0,0,히와타시 세이에이(樋渡清栄)
기우치 주시로,木内重四郎,3,6,3,0,0,0,0,
다무라 곤조,田村權藏,2,6,2,1,0,0,0,
도쿠라 기이치,戸倉貴一,3,6,3,0,0,0,0,
미쓰하시 에이타로,三橋栄太郎,1,6,3,1,0,1,0,
사이고 다카모리,西郷隆盛,2,6,4,0,1,0,0,
세노 히로키치,妹尾廣吉,3,6,3,0,0,0,0,
스즈키 다케시,鈴木赳,3,6,3,0,0,0,0,
시노하라 가나메,篠原要,3,6,3,0,1,0,0,
시바타 지요키치,柴田千代吉,2,6,3,0,0,1,0,
아라이 겐타로,荒井賢太郎,3,6,3,0,0,0,0,
아리마 고코,有馬髙孝,1,6,2,0,0,0,0,
아리스가와노미야 다케히토,有栖川宮威仁,1,6,4,1,0,0,0, | 병합: 가와노미야 다케히토(有栖川宮威仁)
야기 다쓰마,八木辰馬,3,6,3,0,1,0,0,
야마지 조이치,山道襄一,2,6,3,0,0,0,0,
