한글표기,한자표기,민족,언급수,등장단락수,첫등장단락,주활동연도,활동연도범위,단체소속,연령후보_대구물어,출신후보_대구물어,도래후보_대구물어,민단사매칭,안내매칭,요람매칭,조선대구일반매칭,직업_조선대구일반,출신지_조선대구일반,도래연도_조선대구일반,연령_조선대구일반,출신지_확정,도래연도_확정,속성출전,조선대구일반_소개(발췌),직업_보조자료,직업_보조출전,출신지_보조자료,출신지_보조출전,도래연도_보조자료,도래연도_보조출전,생년,생년_출전,조선대구일반_출전,출신지_확정출전,도래연도_확정출전,직업_확정,직업_확정출전,관찰사재임_대구부사,관찰사재임_출전
고다마 이타로,小玉伊太郎,일본인,15,4,102,1905,1904-1905,거류민회,,,,1,0,1,0,,,,,,,,,곡물상,경북요람(1910년대) p.239,,,,,,,,,,곡물상,경북요람(1910년대) p.239,,
사토 슈조,佐藤周藏,일본인,15,8,344,1908,1904-1910,,,,,1,1,1,1,총포점,돗토리 현,,,돗토리 현,1905(가족 이주),조선대구일반(1911),총포점. 돗토리 현. pp.238~239.,총포·화약상; 실업여관(역전),경북요람(1910년대) p.241,,,1905(가족 이주),대구민단사(1915) p.70,,,조선대구일반(1911) pp.238~239,조선대구일반(1911) pp.238~239,대구민단사(1915) p.70,총포점; 총포·화약상; 실업여관(역전),조선대구일반(1911) pp.238~239; 경북요람(1910년대) p.241,,
샤쿠오 슌조,釋尾春仍,일본인,15,6,58,1905,1905-1907,임시일본인대회; 달성학교,,도쿠시마현(단락227),1905(단락1347),1,1,1,0,,,,,도쿠시마현,1905,대구물어,,"언론인(주간지 『조선』 1905.1 발간, 조선신문사 사장 겸 주필); 달성학교 주간·교사",대구민단사(1915) p.194,,,,,,,,대구물어(1930) 도쿠시마현(단락227),대구물어(1930) 1905(단락1347),"언론인(주간지 『조선』 1905.1 발간, 조선신문사 사장 겸 주필); 달성학교 주간·교사",대구민단사(1915) p.194,,
이용익,李容翊,조선인,15,8,55,1905,1905-1906,,,,,1,1,0,0,,,,,,,,,경상북도 관찰사(1905 당시)·탁지부,한국 대구안내(1905) p.30,,,,,,,,,,경상북도 관찰사(1905 당시)·탁지부,한국 대구안내(1905) p.30,경상북도관찰사 1905.6~1906.1(태왕42년 을사~43년 병오),대구부사(1943) 제1편 연혁편 부록 慶尙道監司任遞表 p.283
이즈미 스에지,泉末治,일본인,15,8,401,1907,1905-1909,대구상업회의소,,,,1,0,0,0,,,,,,,,,제일은행 대구출장소 주임→지점장(1908.1 부산 전임),대구민단사(1915) p.124,,,,,,,,,,제일은행 대구출장소 주임→지점장(1908.1 부산 전임),대구민단사(1915) p.124,,
노사카,野坂,일본인,14,7,1088,1907,1907-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
소네 아라스케,曾禰荒助,일본인,14,9,795,1909,1907-1909,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
아사노 세이치,麻野清一,일본인,14,11,999,1908,1907-1908,,,,,1,1,1,0,,,,,,,,,대금업,대구요람(1920) p.131,,,,,,,,,,대금업,대구요람(1920) p.131,,
이충구,李忠求,조선인,14,8,440,1907,1906-1908,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,경상북도관찰사 1907.1~1908.6(태왕44년 정미~융희2년 무신),대구부사(1943) 제1편 연혁편 부록 慶尙道監司任遞表 p.283
하세가와 요시미치,長谷川好道,일본인,14,8,105,1907,1905-1907,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
마키노 슈,牧野周,일본인,13,5,55,1907,1905-1907,대구구락부,,구마모토현(단락55),,0,0,0,1,『대구실업신문』 창립·실무,,,,구마모토현,,조선대구일반(1911),『대구실업신문』 창립·실무. p.120.,대구실업신문 창립·실무; 일한형제흥업조합 이사,한국 대구안내(1905) p.28,,,,,,,조선대구일반(1911) pp.120,대구물어(1930) 구마모토현(단락55),,『대구실업신문』 창립·실무; 대구실업신문 창립·실무; 일한형제흥업조합 이사,조선대구일반(1911) pp.120; 한국 대구안내(1905) p.28,,
이노우에 쓰네나오,井上常直,일본인,13,5,22,1905,1905-1910,거류민회,56세(단락28),,,1,0,1,0,,,,,,,대구물어,,,,,,,,,,,,,,,,
하타모토 기헤이,畑本儀平,일본인,13,6,29,1906,1904-1906,,,,,1,1,1,1,『대구실업신문』 창립,,,,구마모토현,,조선대구일반(1911),『대구실업신문』 창립. p.120.,거류민회 상석서기(1905~06)→대서업,대구민단사(1915) p.74,구마모토현,대구민단사(1915) p.74,,,,,조선대구일반(1911) pp.120,대구민단사(1915) p.74,,『대구실업신문』 창립; 거류민회 상석서기(1905~06)→대서업,조선대구일반(1911) pp.120; 대구민단사(1915) p.74,,
니시자와 사토루,西澤智,일본인,12,8,886,1908,1907-1908,,,,,1,0,1,0,,,,,오카야마현,1906,,,전 군(郡) 관리,대구민단사(1915) p.64,오카야마현,대구민단사(1915) p.64,1906,대구민단사(1915) p.64,,,,대구민단사(1915) p.64,대구민단사(1915) p.64,전 군(郡) 관리,대구민단사(1915) p.64,,
미카지리 다케사부로,三ヶ尻武三郎,일본인,12,6,536,1909,1907-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
송병준,宋秉畯,조선인,12,9,823,1907,1907-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오이케 주스케,大池忠助,일본인,12,4,131,1905,1905-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오카다 기하치,岡田二郎,일본인,12,4,24,1905,1905-1908,거류민회; 임시일본인대회,,,,0,1,0,0,"요리점 달성관(達成館, 히가시혼마치) 주인",히로시마 현,1904,,히로시마 현,1904,조선대구일반(1911),"요리점 달성관(達成館, 히가시혼마치) 주인. 히로시마 현 세비, 1904.2 대구. 거류민회 의원(1904.8), 동북소방조직 주창·부장(1906~). pp.122~123.",요리점 달성관 주인,경북요람(1910년대) p.239,,,,,,,조선대구일반(1911) pp.122~123,조선대구일반(1911) pp.122~123,조선대구일반(1911) pp.122~123,"요리점 달성관(達成館, 히가시혼마치) 주인; 요리점 달성관 주인",조선대구일반(1911) pp.122~123; 경북요람(1910년대) p.239,,
요시다 주이치로,吉田壽一郎,일본인,12,6,55,1906,1905-1907,,,,,1,0,0,0,,,,,오카야마현,1904~05(러일전쟁 중),,,토지 투자; 광업(채광·야금),대구민단사(1915) p.68,오카야마현,대구민단사(1915) p.68,1904~05(러일전쟁 중),대구민단사(1915) p.68,,,,대구민단사(1915) p.68,대구민단사(1915) p.68,토지 투자; 광업(채광·야금),대구민단사(1915) p.68,,
이시이 미쓰오,石井光雄,일본인,12,6,399,1908,1906-1909,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이케가미 시로,池上四郎,일본인,12,7,678,1907,1907-1909,,,,,1,0,1,0,,,,,,,,,"이케가미병원 원장(의학사, 내외과·부인과·소아과)",경북요람(1910년대) p.162,,,,,,,,,,"이케가미병원 원장(의학사, 내외과·부인과·소아과)",경북요람(1910년대) p.162,,
마쓰무라 다이스케,松村泰輔,일본인,11,6,378,1908,1905-1909,,,,,1,0,0,0,,,,,도쿠시마현,,,,"대금업(재산가, 주로 일본 본토 거주)",대구민단사(1915) p.64,도쿠시마현,대구민단사(1915) p.64,,,,,,대구민단사(1915) p.64,,"대금업(재산가, 주로 일본 본토 거주)",대구민단사(1915) p.64,,
서상돈,徐相敦,조선인,11,7,79,1907,1905-1907,,,,,1,1,0,0,,,,,,,,,대구 자산가; 양잠시험소장(동문 밖); 대구실업신보사 평의원,한국 대구안내(1905) p.30,,,,,,,,,,대구 자산가; 양잠시험소장(동문 밖); 대구실업신보사 평의원,한국 대구안내(1905) p.30,,
아리타 오토마쓰,有田音松,일본인,11,4,371,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
아와타 에이지로,粟田英次郎,일본인,11,4,201,1905,1903-1905,대구소학교,,가고시마현(단락250),,0,0,0,0,,,,,가고시마현,,대구물어,,,,,,,,,,,대구물어(1930) 가고시마현(단락250),,,,,
와카바야시 세이스케,若林誠助,일본인,11,6,229,1905,1905-1907,대구상업회의소,,,1905(단락229),1,1,1,0,,,,,,1905,대구물어,,정미업; 와카마쓰 주조장(1913.11); 보험대리,경북요람(1910년대) p.240,,,,,,,,,대구물어(1930) 1905(단락229),정미업; 와카마쓰 주조장(1913.11); 보험대리,경북요람(1910년대) p.240,,
후루쇼 모토사네,古荘幹實,일본인,11,6,370,1908,1905-1908,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
다케우치 마키타로,竹内巻太郎,일본인,10,6,1128,1908,1908-1909,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
도리야마 고야타,鳥山虎彌太,일본인,10,6,627,1908,1908-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
도이 요타로,土井庸太郎,일본인,10,7,14,1908,1905-1909,,,,,1,0,1,0,,,,,,,,,대구공소원 원장,경북요람(1910년대) p.218,,,,,,,,,,대구공소원 원장,경북요람(1910년대) p.218,,
메가타 다네타로,目賀田種太郎,일본인,10,5,142,1906,1904-1908,,,,,1,0,0,0,,,,,,,,,한국정부 재무고문관(농공은행 설치 주도),대구민단사(1915) p.126,,,,,,,,,,한국정부 재무고문관(농공은행 설치 주도),대구민단사(1915) p.126,,
시부사와 에이치,澁澤榮一,일본인,10,3,33,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오자키 시즈오,尾崎鎭雄,일본인,10,5,1291,1909,1907-1909,,,,,1,0,1,0,,,,,나가사키현,,,,이토(伊藤)오복점 주인·포목상,대구민단사(1915) p.68,나가사키현,대구민단사(1915) p.68,,,,,,대구민단사(1915) p.68,,이토(伊藤)오복점 주인·포목상,대구민단사(1915) p.68,,
하야시 진시치,林甚七,일본인,10,6,999,1908,1907-1908,,,,,1,0,1,0,,,,,야마구치현,,,,"청주 양조(쇼에샤松榮舍, 대구 양조업 원조)",대구민단사(1915) p.62,야마구치현,대구민단사(1915) p.62,,,,,,대구민단사(1915) p.62,,"청주 양조(쇼에샤松榮舍, 대구 양조업 원조)",대구민단사(1915) p.62,,
고미야 히코지,小宮彦次,일본인,9,5,541,1907,1907-1909,대구상업회의소,,,,1,0,1,0,,,,,,,,,"상업회의소 서기→서기장(1909.3 승진, 1911.12 사직)",대구민단사(1915) p.188,,,,,,,,,,"상업회의소 서기→서기장(1909.3 승진, 1911.12 사직)",대구민단사(1915) p.188,,
구로카와 미노루,黒川穰,일본인,9,6,1117,1908,1908-1909,,,,,1,0,1,0,,,,,,,,,대구공소원 검사장,경북요람(1910년대) p.218,,,,,,,,,,대구공소원 검사장,경북요람(1910년대) p.218,,
구와노 긴타로,桑野金太郎,일본인,9,4,29,1904,1904-1908,팔조회,,,,0,1,1,0,,,,,,,,,토목건축 청부(촌상정),대구안내(1918) p.136,,,,,,,,,,토목건축 청부(촌상정),대구안내(1918) p.136,,
마에다 아쓰시,前田篤志,일본인,9,4,250,1907,1905-1907,대구소학교,,가고시마현(단락250),,1,0,0,0,,,,,가고시마현,,대구물어,,대구민단립소학교 교장,대구민단사(1915) p.108,,,,,,,,대구물어(1930) 가고시마현(단락250),,대구민단립소학교 교장,대구민단사(1915) p.108,,
박제순,朴齊純,조선인,9,5,332,1906,1905-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오키타 도시타로,沖田敏太郎,일본인,9,2,213,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이완용,李完用,조선인,9,8,57,1907,1905-1909,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
히시키 히데이치,飛鋪秀一,일본인,9,4,1170,1909,1908-1909,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
나카무라 사이조,中村再造,일본인,8,3,148,1905,1905-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
