한글표기,한자표기,민족,언급수,등장단락수,첫등장단락,주활동연도,활동연도범위,단체소속,연령후보_대구물어,출신후보_대구물어,도래후보_대구물어,민단사매칭,안내매칭,요람매칭,조선대구일반매칭,직업_조선대구일반,출신지_조선대구일반,도래연도_조선대구일반,연령_조선대구일반,출신지_확정,도래연도_확정,속성출전,조선대구일반_소개(발췌),직업_보조자료,직업_보조출전,출신지_보조자료,출신지_보조출전,도래연도_보조자료,도래연도_보조출전,생년,생년_출전,조선대구일반_출전,출신지_확정출전,도래연도_확정출전,직업_확정,직업_확정출전,관찰사재임_대구부사,관찰사재임_출전
야마지 조이치,山道襄一,일본인,6,3,794,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오바 지로키치,大塲治郎吉,일본인,6,3,310,1906,1905-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오쿠보 다사부로,大久保太三郎,일본인,6,3,58,1907,1905-1907,임시일본인대회,,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
오쿠보 하지메,大久保肇,일본인,6,3,24,1905,1905-1906,거류민회,,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
요다 고타로,依田廣太郎,일본인,6,3,811,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
요시하라 군타로,吉原軍太郎,일본인,6,3,29,1905,1904-1905,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
우라하마 야스타로,浦濱安太郎,일본인,6,2,98,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
우에다 고쿠초,上田黒潮,일본인,6,2,229,1905,1905-1905,대구구락부,,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
이다 아키라,飯田章,일본인,6,4,234,1907,1905-1907,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이즈카 쇼이치,飯束昇一,일본인,6,1,339,1904,1904-1904,팔조회,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
가야모리 세이타로,柏森精太郎,일본인,5,3,58,1905,1905-1907,임시일본인대회,,,,0,0,0,0,가야모리구미 조합주,,,,,,조선대구일반(1911),가야모리구미 조합주. p.116.,,,,,,,,,조선대구일반(1911) ,,,가야모리구미 조합주,조선대구일반(1911) ,,
고우라 도노마루,高羅殿丸,일본인,5,4,227,1907,1905-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
기쿠치 겐조,菊池謙譲,일본인,5,3,889,1907,1907-1908,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
나가에 요시마사,長泳義正,일본인,5,2,260,1909,1905-1909,대구소학교,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
나카기리 하루타로,中桐春太郎,일본인,5,3,466,1907,1906-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
나카무라 기이치,中村喜一,일본인,5,2,344,1904,1904-1905,,,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
니시야마 쓰루키치,西山鶴吉,일본인,5,2,339,1907,1904-1907,팔조회,,오카야마현(단락793),,0,0,0,0,,,,,오카야마현,,대구물어,,,,,,,,,,,대구물어(1930) 오카야마현(단락793),,,,,
니시야마 유스케,西山熊助,일본인,5,2,468,1906,1906-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
모리야 다쓰조,守屋達城,일본인,5,3,431,1909,1906-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
사카모토 준,坂本淳,일본인,5,2,461,1907,1906-1907,,,가고시마현(단락720),,0,0,0,1,,,,,가고시마현,,조선대구일반(1911),1907.2 신문 인수 시도. p.120.,,,,,,,,,,대구물어(1930) 가고시마현(단락720),,,,,
사토 겐쇼,佐藤玄性,일본인,5,2,245,1907,1905-1907,,,시가현(단락245),,1,0,1,0,,,,,시가현,,대구물어,,,,,,,,,,,대구물어(1930) 시가현(단락245),,,,,
서병오,徐丙五,조선인,5,3,431,1907,1906-1907,,,,,1,0,0,0,,,,,,,,,달성공원기성회 부회두; 서화가,대구민단사(1915) p.168,,,,,,,,,,달성공원기성회 부회두; 서화가,대구민단사(1915) p.168,,
스즈키 하치로,鈴木八郎,일본인,5,3,682,1907,1907-1907,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
시모즈 사부로,下津三郎,일본인,5,2,55,1905,1905-1905,임시일본인대회,,구마모토현(단락55),,1,1,1,1,『대구실업신문』(1905.3) 창립 사장,,,,구마모토현,,조선대구일반(1911),『대구실업신문』(1905.3) 창립 사장. p.120.,,,,,,,,,조선대구일반(1911) pp.120,대구물어(1930) 구마모토현(단락55),,『대구실업신문』(1905.3) 창립 사장,조선대구일반(1911) pp.120,,
시오카와 이치타로,鹽川一太郎,일본인,5,3,361,1908,1905-1908,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
아리요시 아키라,有吉明,일본인,5,2,16,1905,1905-1905,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
야기 마쓰다로,八木松太郎,일본인,5,4,310,1907,1905-1907,,,효고현(단락310),,0,0,0,0,,,,,효고현,,대구물어,,,,,,,,,,,대구물어(1930) 효고현(단락310),,,,,
야마와키 쇼사쿠,山脇正作,일본인,5,2,46,1905,1905-1905,,,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
오노 쇼자부로,大野庄三郎,일본인,5,2,466,1906,1906-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
윤필오,尹弼五,조선인,5,3,241,1905,1905-1907,달성학교,,,,1,1,0,0,,,,,,,,,달성학교 교장→군수,한국 대구안내(1905) p.28,,,,,,,,,,달성학교 교장→군수,한국 대구안내(1905) p.28,,
이사와 이와헤이,井澤岩平,일본인,5,3,1044,1907,1907-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이윤용,李允用,조선인,5,2,57,1906,1905-1906,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,경상북도관찰사 1903.8~1904.3(태왕40년 계묘~41년 갑진),대구부사(1943) 제1편 연혁편 부록 慶尙道監司任遞表 p.283
이쿠하시 요네사부로,生橋米三郎,일본인,5,3,1107,1908,1908-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
하라타 다카히로,原田隆弘,일본인,5,1,713,1907,1907-1907,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
하야시 곤스케,林権助,일본인,5,3,105,1905,1904-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
하야시 다다스,林董,일본인,5,2,849,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
한진창,韓鎭昌,조선인,5,2,440,1906,1906-1906,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,경상북도관찰사 1906.8~1907.1(태왕43년 병오~44년 정미),대구부사(1943) 제1편 연혁편 부록 慶尙道監司任遞表 p.283
후시미노미야 히로야스,伏見宮博恭,일본인,5,2,96,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
후쿠타케 쇼조,福武庄藏,일본인,5,3,681,1907,1907-1907,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
가도타 기쿠,門田菊,일본인,4,2,29,1904,1904-1905,,,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
가와시마 규에몬,川島久右衛門,일본인,4,2,24,1905,1905-1905,거류민회; 임시일본인대회,,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
고라 요시마루,高羅吉丸,일본인,4,3,886,1909,1907-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
고미야 미호마쓰,小宮三保松,일본인,4,2,955,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
고야마 시치로,小山七郎,일본인,4,2,401,1906,1906-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
고쿠부,国分,일본인,4,2,817,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
구노 주키치,久納忠吉,일본인,4,1,640,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
구라토미 유자부로,倉富勇三郎,일본인,4,2,955,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
기쿠카와 게이운,菊川渓雲,일본인,4,2,248,1905,1905-1907,달성학교,,구마모토현(단락248),,1,0,0,0,,,,,구마모토현,,대구물어,,,,,,,,,,,대구물어(1930) 구마모토현(단락248),,,,,
나가에 후쿠조,長永福藏,일본인,4,2,482,1906,1906-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
나가타 기겐,永田儀源,일본인,4,1,375,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
나가하마 모리조,永濱盛三,일본인,4,2,955,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
나마타메 신,生田目新,일본인,4,2,1284,1907,1907-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
나카니시 다몬,中西多門,일본인,4,2,58,1905,1905-1905,임시일본인대회,,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
나카모토 가타로,中本嘉太郎,일본인,4,2,29,1904,1904-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
나카무라 다카나오,中村敬直,일본인,4,2,1121,1909,1908-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
나카무라 도시마쓰,中村俊松,일본인,4,1,131,1905,1905-1905,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
나카이데 세이타로,中出清太郎,일본인,4,1,375,1905,1905-1905,,,,,0,0,1,1,"나카데 약방(中出藥店, 동성정)",이시카와 현,1905,,이시카와 현,1905,조선대구일반(1911),"나카데 약방(中出藥店, 동성정). 이시카와 현 고마츠초, 1905.2 대구. 대구권상장(勸商場) 주창·이사. pp.188~189.",,,,,,,,,조선대구일반(1911) ,조선대구일반(1911) ,조선대구일반(1911) ,"나카데 약방(中出藥店, 동성정)",조선대구일반(1911) ,,
나카타 사부로,中田三郎,일본인,4,2,466,1906,1906-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
난부 센조,南部専三,일본인,4,1,265,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
다나카 가나메,田中要,일본인,4,2,260,1909,1905-1909,대구소학교,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
다나카 나라키치,田中奈良吉,일본인,4,2,29,1904,1904-1905,,,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
다나카 요시하루,田中芳春,일본인,4,2,1121,1909,1908-1909,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
다무라 도미조,田村富藏,일본인,4,2,633,1905,1905-1907,대구상업회의소,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
다와라 마고이치,俵孫一,일본인,4,2,955,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
다카시마 고하치,高島五八,일본인,4,2,452,1906,1906-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
다키하라 기타로,瀧原儀太郎,일본인,4,2,452,1906,1906-1907,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
데라카와 산조,寺川三藏,일본인,4,2,1121,1909,1908-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
도요타 슌스케,豊田俊助,일본인,4,2,1123,1909,1908-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
도카노 시게오,戸叶薫雄,일본인,4,2,1067,1907,1907-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
마쓰다 만로쿠,松田萬六,일본인,4,1,889,1907,1907-1907,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
마쓰이 시게루,松井茂,일본인,4,2,955,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
마에자와 마사미,前澤成美,일본인,4,2,1121,1909,1908-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
마키 신이치,眞木深一,일본인,4,2,224,1906,1904-1906,,,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
모리우라 구마조,森浦熊藏,일본인,4,2,1123,1909,1908-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
무라타,村田,일본인,4,2,908,1909,1907-1909,,,,,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
사사모토 레이도,佐々本霊導,일본인,4,2,288,1906,1906-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
사사키 기요쓰나,佐々木清綱,일본인,4,1,464,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
사사키 이치조,佐々木市臧,일본인,4,2,267,1904,1904-1904,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
사토 료헤이,佐藤良平,일본인,4,2,421,1906,1906-1907,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
세노 에이타로,妹尾英太郎,일본인,4,2,262,1904,1904-1905,대구소학교,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
스기타 데이치,杉田定一,일본인,4,2,656,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
스즈키 젠시치,鈴木善七,일본인,4,1,375,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
스토 시즈야,首蕂諍也,일본인,4,1,245,1905,1905-1905,,,시가현(단락245),,0,0,0,0,,,,,시가현,,대구물어,,,,,,,,,,,대구물어(1930) 시가현(단락245),,,,,
시게히사 유히코,重久雄彦,일본인,4,2,1284,1907,1907-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
시마다 시즈카,島田歸,일본인,4,1,265,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
시마다 후미노스케,島田文之助,일본인,4,2,1127,1908,1908-1908,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
시모조 에이타로,下條榮太郎,일본인,4,2,690,1907,1907-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
시미즈 도쿠타로,清水徳太郎,일본인,4,2,1143,1909,1908-1909,,,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
쓰루하라 사다키치,鶴原定吉,일본인,4,2,385,1906,1906-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
아카호시 조조,赤星譲三,일본인,4,2,229,1905,1905-1905,,,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
야마다 시게루,山田茂,일본인,4,2,482,1906,1906-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
야마자키 가도요시,山崎角吉,일본인,4,2,29,1904,1904-1905,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
야스카와 와사부로,安川和三郎,일본인,4,2,1286,1909,1907-1909,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
야하시 간이치로,矢橋寛一郎,일본인,4,1,873,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오다 센,織田選,일본인,4,2,452,1906,1906-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오치 치에코,,일본인,4,2,260,1909,1905-1909,대구소학교,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오카모토 우이치,岡本宇一,일본인,4,2,58,1905,1905-1905,임시일본인대회; 쇄신회,,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
오카무라 마사오,岡村正雄,일본인,4,2,739,1907,1907-1907,,,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
오하타 조,大畠丞,일본인,4,2,452,1907,1906-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
와다 유지,和田雄次,일본인,4,2,443,1906,1906-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
와케 헤이지로,和氣平次郎,일본인,4,2,1106,1908,1907-1908,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
요시미 젠이치,好見善市,일본인,4,1,566,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
우메 겐지로,梅謙二郎,일본인,4,2,464,1906,1906-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
우쓰노미야 젠이치,宇都宮善市,일본인,4,1,566,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
우에다 기사부로,上田義三郎,일본인,4,2,288,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
우에다 요시오,上田義雄,일본인,4,1,339,1904,1904-1904,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
우에무라 린타로,植村臨太郎,일본인,4,2,1284,1907,1907-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이병학,,조선인,4,3,401,1906,1906-1909,,,,,1,1,1,0,,,,,,,,,"대구농공은행장(이석진 후임, 조선식산은행 전환까지)",대구물어(1930) 단락 401,,,,,,,,,,"대구농공은행장(이석진 후임, 조선식산은행 전환까지)",대구물어(1930) 단락 401,,
이상설,李相卨,조선인,4,2,828,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이시카와 구스지로,石川楠次郎,일본인,4,2,1284,1907,1907-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이우라 요시히사,井浦義久,일본인,4,2,1121,1909,1908-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
정해붕,鄭海鵬,조선인,4,4,245,1909,1905-1909,,,,,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
하라다 리베,原田利兵衛,일본인,4,1,271,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
하세가와 야소키치,長谷川八十吉,일본인,4,2,466,1907,1906-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
호시노 미쓰키,星野光鬼,일본인,4,1,375,1905,1905-1905,,,,1904(단락375),0,0,0,0,,,,,,1904,대구물어,,,,,,,,,,,,대구물어(1930) 1904(단락375),,,,
후루야 사다조,古屋貞蔵,일본인,4,2,452,1907,1906-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
후루야 지스케,古谷治輔,일본인,4,2,29,1904,1904-1905,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
후루카와 분노스케,古川文之助,일본인,4,1,339,1904,1904-1904,팔조회,,,,1,1,1,1,가야모리구미(栢森組) 운송부 창립,운송부,1904,,운송부,1904,조선대구일반(1911),"가야모리구미(栢森組) 운송부 창립. 기후 현 다카스마치, 1904.8 도한. 1910.3 상업회의소 의원. pp.116~117.",,,,,,,,,조선대구일반(1911) pp.116~117,조선대구일반(1911) pp.116~117,조선대구일반(1911) pp.116~117,가야모리구미(栢森組) 운송부 창립,조선대구일반(1911) pp.116~117,,
후카와 고테쓰,府川宏哲,일본인,4,2,37,1905,1905-1907,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
히로에 사와지로,廣江澤次郎,일본인,4,1,396,1906,1906-1906,,60세(단락396),,,0,0,0,0,,,,,,,대구물어,,,,,,,,,,,,,,,,
히메노 다로지,姫野太郎次,일본인,4,3,279,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
가나모리 리키자부로,金森力三郎,일본인,3,1,339,1904,1904-1904,팔조회,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
가쓰라 다로,桂太郎,일본인,3,3,412,1907,1906-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
고가 쇼지,古賀省二,일본인,3,1,1203,1908,1908-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
고영희,高永喜,조선인,3,3,825,1907,1906-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
구보타 고로,窪田梧樓,일본인,3,1,464,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
구보타 베이센,久保田米僊,일본인,3,1,609,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
김직현,金稷鉉,조선인,3,2,241,1906,1905-1906,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,경상북도관찰사 1899.2~1900.7(태왕36년 기해~37년 경자) ※대구물어 표기 이직현(李稷絃)은 이표기 처리,대구부사(1943) 제1편 연혁편 부록 慶尙道監司任遞表 p.282; 대구민단사(1915) p.106
나가타니 다카시,永谷隆志,일본인,3,2,813,1907,1907-1907,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
노구치 히로키,野口弘毅,일본인,3,1,1345,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
다니 히코이치,谷彦一,일본인,3,2,1043,1908,1908-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
데와 시게토,出羽重遠,일본인,3,1,1237,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
도고 헤이하치로,東郷平八郎,일본인,3,3,108,1904,1904-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
도야마 요타로,富山要太郎,일본인,3,2,412,1909,1906-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
마키 노우지,牧農治,일본인,3,1,396,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
미와 미쓰기,三輪光儀,일본인,3,2,1358,1907,1907-1907,,,,,0,0,1,0,,,,,,,,,제2연대장(보병대좌),경북요람(1910년대) p.218,,,,,,,,,,제2연대장(보병대좌),경북요람(1910년대) p.218,,
미우라 쇼이치로,三浦庄一郎,일본인,3,2,1154,1908,1908-1908,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
사사키 마사,佐々木昌,일본인,3,1,464,1906,1906-1906,,,도쿄(단락464),,0,0,0,0,,,,,도쿄,,대구물어,,,,,,,,,,,대구물어(1930) 도쿄(단락464),,,,,
사카타 분키치,阪田文吉,일본인,3,2,623,1907,1907-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
사토 이사부로,佐藤伊三郎,일본인,3,1,133,1905,1905-1905,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
시노하라 이마시로,篠原今四郎,일본인,3,1,370,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
신태휴,申泰休,조선인,3,2,440,1906,1906-1906,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,경상북도관찰사 1906.5~1906.8(태왕43년 병오),대구부사(1943) 제1편 연혁편 부록 慶尙道監司任遞表 p.283
아다치 겐조,安達堅造,일본인,3,2,1349,1907,1907-1907,,,,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
아리요시 주이치,有吉忠一,일본인,3,2,213,1908,1905-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
엄성구,嚴星九,조선인,3,2,468,1906,1906-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오바 간이치,大庭貫一,일본인,3,1,1003,1908,1908-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오우라 다스케,大浦佐,일본인,3,2,105,1905,1905-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오카무라 하쓰노스케,岡村初之助,일본인,3,1,618,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오카우메 사부로,岡楳三郎,일본인,3,1,464,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오카키 시치로,岡喜七郎,일본인,3,2,385,1906,1906-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오하시 마쓰다로,大橋松太郎,일본인,3,1,310,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
요시다 다카모토,吉田孝基,일본인,3,1,464,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
요시오카 다다이치,吉岡唯一,일본인,3,1,1090,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
우치야마 요네타로,内山米太郎,일본인,3,2,328,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이노우에 요시리,井上義理,일본인,3,1,464,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이병무,李秉武,조선인,3,3,820,1907,1906-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이와쿠라 도모사다,岩倉具定,일본인,3,2,900,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이위종,李瑋鍾,조선인,3,2,828,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이준,李儁,조선인,3,2,828,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이케베 기치주로,池辺吉十郎,일본인,3,1,1074,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
장승원,張承遠,조선인,3,2,57,1906,1905-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,경상북도관찰사 1904.8~1905.4(태왕41년 갑진~42년 을사),대구부사(1943) 제1편 연혁편 부록 慶尙道監司任遞表 p.283
하루노미야 요시히토,嘉仁,일본인,3,2,900,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
후쿠타 가쿠헤이,福田覺平,일본인,3,1,793,1907,1907-1907,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
히타카 사이지,日高才二,일본인,3,2,64,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
가네미쓰 우헤이,兼光宇兵衛,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
가네코 기이치,金子毅一,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
가도치 가나,角地カナ,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
가메야마 리헤타로,龜山利平太,일본인,2,1,1349,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
가미무라 나오치카,上村直親,일본인,2,1,687,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
가미야 아이키,神谷愛鄉,일본인,2,1,1303,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
가미타니 겐지로,神谷顯治郎,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
가사하라 사토시,笠原覺巿,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
가시마 쇼키치,花島庄吉,일본인,2,1,300,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
